age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
-0.9435438525174253,blue-collar,single,primary,no,-0.4752785623750755,yes,no,unknown,0.6271941195421353,may,-0.8894373003428926,-1,0.0,unknown,yes
-1.3480549754236992,blue-collar,single,primary,no,-0.28070367182355704,no,no,cellular,0.3872956787833993,feb,-0.14222823052234856,-1,0.0,unknown,yes
1.6857784463733558,management,married,tertiary,no,-0.8475087877779803,yes,yes,unknown,0.5072448991627673,jun,-0.8894373003428926,-1,0.0,unknown,yes
-1.3480549754236992,student,single,secondary,no,-0.6021752301260658,no,no,cellular,-1.052094965769017,jul,-0.14222823052234856,-1,0.0,unknown,yes
-0.9435438525174253,admin.,single,secondary,no,-0.5067005943896065,no,no,cellular,1.7067371029564475,apr,-0.8894373003428926,-1,0.0,unknown,yes
2.191417350006198,management,married,tertiary,no,2.629459908599153,no,no,cellular,-1.172044186148385,jul,0.6049808392981955,-1,0.0,unknown,yes
-0.6401605103377198,blue-collar,married,secondary,no,0.17129017330854165,yes,yes,cellular,0.14739723802466326,nov,-0.8894373003428926,-1,0.0,unknown,yes
-0.03339382597830878,blue-collar,married,primary,no,1.3882896440251817,yes,no,unknown,0.02744801764529523,may,0.6049808392981955,-1,0.0,unknown,yes
1.1801395427405132,retired,divorced,tertiary,no,-1.1097619011300268,yes,no,unknown,0.3872956787833993,jun,-0.14222823052234856,-1,0.0,unknown,yes
1.2812673234670817,technician,married,secondary,no,0.8577407188567557,no,no,unknown,0.3872956787833993,jun,0.6049808392981955,-1,0.0,unknown,yes
-1.449182756150268,blue-collar,single,secondary,no,-0.7049011040197246,yes,yes,cellular,-0.0925012027340728,may,-0.8894373003428926,-1,0.0,unknown,yes
-1.1457994139705623,unemployed,single,secondary,no,-0.7061096437125911,no,no,cellular,-0.2124504231134408,apr,-0.14222823052234856,-1,0.0,unknown,yes
-0.6401605103377198,admin.,married,secondary,no,-0.4378138318962117,no,no,cellular,-0.932145745389649,oct,-0.14222823052234856,-1,0.0,unknown,yes
-1.3480549754236992,technician,single,secondary,no,-0.32904525953822006,no,no,unknown,-0.812196525010281,jul,-0.8894373003428926,-1,0.0,unknown,yes
